pretty_link,country_or_district,id
"<div><a href=""/places/default/view/Curacao-55""><img src=""/places/static/images/flags/cw.png"" /> Curacao</a></div>",Curacao,1814305
"<div><a href=""/places/default/view/Cyprus-56""><img src=""/places/static/images/flags/cy.png"" /> Cyprus</a></div>",Cyprus,1814306
"<div><a href=""/places/default/view/Czech-Republic-57""><img src=""/places/static/images/flags/cz.png"" /> Czech Republic</a></div>",Czech Republic,1814307
"<div><a href=""/places/default/view/Democratic-Republic-of-the-Congo-58""><img src=""/places/static/images/flags/cd.png"" /> Democratic Republic of the Congo</a></div>",Democratic Republic of the Congo,1814308
"<div><a href=""/places/default/view/Denmark-59""><img src=""/places/static/images/flags/dk.png"" /> Denmark</a></div>",Denmark,1814309
"<div><a href=""/places/default/view/Djibouti-60""><img src=""/places/static/images/flags/dj.png"" /> Djibouti</a></div>",Djibouti,1814310
"<div><a href=""/places/default/view/Dominica-61""><img src=""/places/static/images/flags/dm.png"" /> Dominica</a></div>",Dominica,1814311
"<div><a href=""/places/default/view/Dominican-Republic-62""><img src=""/places/static/images/flags/do.png"" /> Dominican Republic</a></div>",Dominican Republic,1814312
"<div><a href=""/places/default/view/East-Timor-63""><img src=""/places/static/images/flags/tl.png"" /> East Timor</a></div>",East Timor,1814313
"<div><a href=""/places/default/view/Ecuador-64""><img src=""/places/static/images/flags/ec.png"" /> Ecuador</a></div>",Ecuador,1814314
"<div><a href=""/places/default/view/Egypt-65""><img src=""/places/static/images/flags/eg.png"" /> Egypt</a></div>",Egypt,1814315
"<div><a href=""/places/default/view/El-Salvador-66""><img src=""/places/static/images/flags/sv.png"" /> El Salvador</a></div>",El Salvador,1814316
"<div><a href=""/places/default/view/Equatorial-Guinea-67""><img src=""/places/static/images/flags/gq.png"" /> Equatorial Guinea</a></div>",Equatorial Guinea,1814317
"<div><a href=""/places/default/view/Eritrea-68""><img src=""/places/static/images/flags/er.png"" /> Eritrea</a></div>",Eritrea,1814318
"<div><a href=""/places/default/view/Estonia-69""><img src=""/places/static/images/flags/ee.png"" /> Estonia</a></div>",Estonia,1814319
"<div><a href=""/places/default/view/Ethiopia-70""><img src=""/places/static/images/flags/et.png"" /> Ethiopia</a></div>",Ethiopia,1814320
"<div><a href=""/places/default/view/Faroe-Islands-71""><img src=""/places/static/images/flags/fo.png"" /> Faroe Islands</a></div>",Faroe Islands,1814321
"<div><a href=""/places/default/view/Fiji-72""><img src=""/places/static/images/flags/fj.png"" /> Fiji</a></div>",Fiji,1814322
"<div><a href=""/places/default/view/Finland-73""><img src=""/places/static/images/flags/fi.png"" /> Finland</a></div>",Finland,1814323
"<div><a href=""/places/default/view/France-74""><img src=""/places/static/images/flags/fr.png"" /> France</a></div>",France,1814324
"<div><a href=""/places/default/view/French-Guiana-75""><img src=""/places/static/images/flags/gf.png"" /> French Guiana</a></div>",French Guiana,1814325
"<div><a href=""/places/default/view/French-Polynesia-76""><img src=""/places/static/images/flags/pf.png"" /> French Polynesia</a></div>",French Polynesia,1814326
"<div><a href=""/places/default/view/French-Southern-Territories-77""><img src=""/places/static/images/flags/tf.png"" /> French Southern Territories</a></div>",French Southern Territories,1814327
"<div><a href=""/places/default/view/Gabon-78""><img src=""/places/static/images/flags/ga.png"" /> Gabon</a></div>",Gabon,1814328
"<div><a href=""/places/default/view/Gambia-79""><img src=""/places/static/images/flags/gm.png"" /> Gambia</a></div>",Gambia,1814329
"<div><a href=""/places/default/view/Georgia-80""><img src=""/places/static/images/flags/ge.png"" /> Georgia</a></div>",Georgia,1814330
"<div><a href=""/places/default/view/Germany-81""><img src=""/places/static/images/flags/de.png"" /> Germany</a></div>",Germany,1814331
"<div><a href=""/places/default/view/Ghana-82""><img src=""/places/static/images/flags/gh.png"" /> Ghana</a></div>",Ghana,1814332
"<div><a href=""/places/default/view/Gibraltar-83""><img src=""/places/static/images/flags/gi.png"" /> Gibraltar</a></div>",Gibraltar,1814333
"<div><a href=""/places/default/view/Greece-84""><img src=""/places/static/images/flags/gr.png"" /> Greece</a></div>",Greece,1814334
"<div><a href=""/places/default/view/Greenland-85""><img src=""/places/static/images/flags/gl.png"" /> Greenland</a></div>",Greenland,1814335
"<div><a href=""/places/default/view/Grenada-86""><img src=""/places/static/images/flags/gd.png"" /> Grenada</a></div>",Grenada,1814336
"<div><a href=""/places/default/view/Guadeloupe-87""><img src=""/places/static/images/flags/gp.png"" /> Guadeloupe</a></div>",Guadeloupe,1814337
"<div><a href=""/places/default/view/Guam-88""><img src=""/places/static/images/flags/gu.png"" /> Guam</a></div>",Guam,1814338
"<div><a href=""/places/default/view/Guatemala-89""><img src=""/places/static/images/flags/gt.png"" /> Guatemala</a></div>",Guatemala,1814339
"<div><a href=""/places/default/view/Guernsey-90""><img src=""/places/static/images/flags/gg.png"" /> Guernsey</a></div>",Guernsey,1814340
"<div><a href=""/places/default/view/Guinea-91""><img src=""/places/static/images/flags/gn.png"" /> Guinea</a></div>",Guinea,1814341
"<div><a href=""/places/default/view/Guinea-Bissau-92""><img src=""/places/static/images/flags/gw.png"" /> Guinea-Bissau</a></div>",Guinea-Bissau,1814342
"<div><a href=""/places/default/view/Guyana-93""><img src=""/places/static/images/flags/gy.png"" /> Guyana</a></div>",Guyana,1814343
"<div><a href=""/places/default/view/Haiti-94""><img src=""/places/static/images/flags/ht.png"" /> Haiti</a></div>",Haiti,1814344
"<div><a href=""/places/default/view/Heard-Island-and-McDonald-Islands-95""><img src=""/places/static/images/flags/hm.png"" /> Heard Island and McDonald Islands</a></div>",Heard Island and McDonald Islands,1814345
"<div><a href=""/places/default/view/Honduras-96""><img src=""/places/static/images/flags/hn.png"" /> Honduras</a></div>",Honduras,1814346
"<div><a href=""/places/default/view/Hungary-97""><img src=""/places/static/images/flags/hu.png"" /> Hungary</a></div>",Hungary,1814347
"<div><a href=""/places/default/view/Iceland-98""><img src=""/places/static/images/flags/is.png"" /> Iceland</a></div>",Iceland,1814348
"<div><a href=""/places/default/view/Indonesia-99""><img src=""/places/static/images/flags/id.png"" /> Indonesia</a></div>",Indonesia,1814349
"<div><a href=""/places/default/view/Iran-100""><img src=""/places/static/images/flags/ir.png"" /> Iran</a></div>",Iran,1814350
